team_name,total_pressures,len_0,len_1,len_2,len_3,len_4,len_5,wid_0,wid_1,wid_2,wid_3,wid_4,zone_0_0,zone_0_1,zone_0_2,zone_0_3,zone_0_4,zone_0_5,zone_1_0,zone_1_1,zone_1_2,zone_1_3,zone_1_4,zone_1_5,zone_2_0,zone_2_1,zone_2_2,zone_2_3,zone_2_4,zone_2_5,zone_3_0,zone_3_1,zone_3_2,zone_3_3,zone_3_4,zone_3_5,zone_4_0,zone_4_1,zone_4_2,zone_4_3,zone_4_4,zone_4_5
FC Köln,3722,559.0,797.0,821.0,764.0,481.0,300.0,850.0,740.0,651.0,747.0,734.0,130.0,174.0,207.0,188.0,94.0,57.0,102.0,154.0,155.0,151.0,118.0,60.0,111.0,118.0,104.0,134.0,99.0,85.0,119.0,173.0,157.0,137.0,103.0,58.0,97.0,178.0,198.0,154.0,67.0,40.0
FSV Mainz 05,4030,546.0,777.0,856.0,780.0,624.0,447.0,797.0,742.0,740.0,826.0,925.0,96.0,164.0,193.0,151.0,119.0,74.0,123.0,132.0,130.0,147.0,125.0,85.0,103.0,121.0,117.0,136.0,123.0,140.0,130.0,153.0,164.0,170.0,131.0,78.0,94.0,207.0,252.0,176.0,126.0,70.0
VfB Stuttgart,3512,405.0,528.0,616.0,769.0,657.0,537.0,668.0,736.0,741.0,707.0,660.0,44.0,94.0,133.0,187.0,139.0,71.0,93.0,105.0,119.0,160.0,146.0,113.0,97.0,84.0,96.0,130.0,148.0,186.0,103.0,120.0,125.0,141.0,120.0,98.0,68.0,125.0,143.0,151.0,104.0,69.0
Borussia Mönchengladbach,4380,573.0,990.0,1039.0,787.0,580.0,411.0,796.0,888.0,841.0,960.0,895.0,81.0,174.0,200.0,172.0,117.0,52.0,110.0,219.0,211.0,142.0,117.0,89.0,111.0,176.0,196.0,125.0,110.0,123.0,157.0,219.0,215.0,161.0,117.0,91.0,114.0,202.0,217.0,187.0,119.0,56.0
Bayern Munich,3137,314.0,418.0,517.0,673.0,675.0,540.0,460.0,637.0,691.0,698.0,651.0,57.0,68.0,94.0,109.0,92.0,40.0,72.0,71.0,102.0,142.0,140.0,110.0,48.0,69.0,78.0,135.0,168.0,193.0,81.0,91.0,115.0,133.0,152.0,126.0,56.0,119.0,128.0,154.0,123.0,71.0
Wolfsburg,3957,629.0,767.0,760.0,767.0,626.0,408.0,816.0,700.0,699.0,833.0,909.0,121.0,155.0,194.0,173.0,127.0,46.0,127.0,141.0,121.0,121.0,106.0,84.0,106.0,106.0,103.0,113.0,140.0,131.0,160.0,162.0,144.0,154.0,118.0,95.0,115.0,203.0,198.0,206.0,135.0,52.0
Union Berlin,4296,399.0,863.0,1034.0,884.0,654.0,462.0,1054.0,899.0,784.0,804.0,755.0,92.0,220.0,272.0,216.0,167.0,87.0,76.0,183.0,199.0,187.0,156.0,98.0,89.0,146.0,149.0,149.0,116.0,135.0,81.0,157.0,213.0,171.0,98.0,84.0,61.0,157.0,201.0,161.0,117.0,58.0
Borussia Dortmund,3873,365.0,577.0,729.0,933.0,734.0,535.0,768.0,707.0,707.0,794.0,897.0,60.0,109.0,169.0,218.0,145.0,67.0,70.0,105.0,109.0,168.0,141.0,114.0,71.0,88.0,102.0,150.0,128.0,168.0,93.0,120.0,144.0,166.0,160.0,111.0,71.0,155.0,205.0,231.0,160.0,75.0
Bayer Leverkusen,3011,357.0,546.0,518.0,568.0,588.0,434.0,542.0,664.0,584.0,617.0,604.0,67.0,111.0,101.0,110.0,99.0,54.0,86.0,145.0,115.0,105.0,124.0,89.0,66.0,83.0,72.0,96.0,126.0,141.0,81.0,101.0,113.0,123.0,122.0,77.0,57.0,106.0,117.0,134.0,117.0,73.0
Hoffenheim,4041,496.0,604.0,804.0,870.0,751.0,516.0,840.0,786.0,752.0,816.0,847.0,90.0,142.0,185.0,179.0,168.0,76.0,106.0,109.0,130.0,176.0,153.0,112.0,110.0,69.0,111.0,154.0,147.0,161.0,95.0,136.0,167.0,174.0,144.0,100.0,95.0,148.0,211.0,187.0,139.0,67.0
