team_name,total_pressures,len_0,len_1,len_2,len_3,len_4,len_5,wid_0,wid_1,wid_2,wid_3,wid_4,zone_0_0,zone_0_1,zone_0_2,zone_0_3,zone_0_4,zone_0_5,zone_1_0,zone_1_1,zone_1_2,zone_1_3,zone_1_4,zone_1_5,zone_2_0,zone_2_1,zone_2_2,zone_2_3,zone_2_4,zone_2_5,zone_3_0,zone_3_1,zone_3_2,zone_3_3,zone_3_4,zone_3_5,zone_4_0,zone_4_1,zone_4_2,zone_4_3,zone_4_4,zone_4_5
Levante UD,4561,602.0,940.0,978.0,920.0,702.0,419.0,908.0,941.0,823.0,975.0,914.0,132.0,217.0,209.0,170.0,127.0,53.0,154.0,194.0,183.0,185.0,143.0,82.0,102.0,150.0,130.0,165.0,132.0,144.0,131.0,201.0,229.0,182.0,163.0,69.0,83.0,178.0,227.0,218.0,137.0,71.0
Girona,4242,618.0,939.0,858.0,854.0,587.0,386.0,814.0,877.0,838.0,898.0,815.0,84.0,176.0,187.0,187.0,125.0,55.0,125.0,182.0,177.0,161.0,141.0,91.0,142.0,180.0,135.0,146.0,110.0,125.0,149.0,220.0,165.0,181.0,119.0,64.0,118.0,181.0,194.0,179.0,92.0,51.0
Real Oviedo,4328,574.0,832.0,956.0,941.0,638.0,387.0,861.0,881.0,843.0,903.0,840.0,97.0,161.0,231.0,198.0,116.0,58.0,102.0,161.0,201.0,196.0,147.0,74.0,134.0,147.0,119.0,163.0,145.0,135.0,148.0,198.0,180.0,190.0,122.0,65.0,93.0,165.0,225.0,194.0,108.0,55.0
Osasuna,4120,586.0,822.0,816.0,840.0,632.0,424.0,742.0,831.0,790.0,932.0,825.0,90.0,156.0,177.0,168.0,95.0,56.0,117.0,154.0,175.0,160.0,139.0,86.0,116.0,143.0,118.0,138.0,142.0,133.0,149.0,226.0,154.0,162.0,144.0,97.0,114.0,143.0,192.0,212.0,112.0,52.0
Deportivo Alavés,4689,549.0,970.0,1087.0,1015.0,632.0,436.0,934.0,939.0,778.0,999.0,1039.0,115.0,199.0,230.0,203.0,113.0,74.0,102.0,210.0,230.0,195.0,125.0,77.0,76.0,128.0,161.0,174.0,119.0,120.0,111.0,211.0,205.0,226.0,147.0,99.0,145.0,222.0,261.0,217.0,128.0,66.0
Real Madrid,3601,358.0,657.0,664.0,819.0,631.0,472.0,873.0,815.0,629.0,649.0,635.0,74.0,166.0,161.0,241.0,156.0,75.0,88.0,130.0,162.0,175.0,156.0,104.0,72.0,107.0,87.0,119.0,101.0,143.0,72.0,137.0,115.0,140.0,113.0,72.0,52.0,117.0,139.0,144.0,105.0,78.0
Real Sociedad,4658,527.0,775.0,999.0,1035.0,817.0,505.0,947.0,950.0,858.0,950.0,953.0,83.0,156.0,223.0,227.0,187.0,71.0,98.0,140.0,204.0,224.0,158.0,126.0,85.0,141.0,135.0,182.0,169.0,146.0,142.0,175.0,191.0,188.0,156.0,98.0,119.0,163.0,246.0,214.0,147.0,64.0
Athletic Club,4709,364.0,650.0,879.0,1196.0,1004.0,616.0,914.0,905.0,819.0,957.0,1114.0,53.0,116.0,211.0,248.0,188.0,98.0,68.0,96.0,147.0,267.0,221.0,106.0,67.0,76.0,116.0,186.0,179.0,195.0,102.0,159.0,150.0,207.0,223.0,116.0,74.0,203.0,255.0,288.0,193.0,101.0
Getafe,5006,500.0,1002.0,1135.0,1108.0,737.0,524.0,1274.0,957.0,728.0,947.0,1100.0,131.0,254.0,280.0,304.0,191.0,114.0,82.0,207.0,187.0,225.0,158.0,98.0,77.0,121.0,158.0,163.0,99.0,110.0,95.0,206.0,210.0,198.0,145.0,93.0,115.0,214.0,300.0,218.0,144.0,109.0
Mallorca,4273,632.0,935.0,909.0,852.0,606.0,339.0,950.0,903.0,659.0,871.0,890.0,116.0,199.0,203.0,214.0,151.0,67.0,149.0,201.0,174.0,175.0,138.0,66.0,100.0,138.0,132.0,117.0,75.0,97.0,151.0,214.0,181.0,150.0,122.0,53.0,116.0,183.0,219.0,196.0,120.0,56.0
Espanyol,4690,488.0,872.0,1036.0,1064.0,762.0,468.0,966.0,936.0,800.0,1005.0,983.0,65.0,171.0,233.0,233.0,172.0,92.0,98.0,179.0,199.0,182.0,172.0,106.0,113.0,139.0,137.0,172.0,123.0,116.0,132.0,185.0,211.0,236.0,157.0,84.0,80.0,198.0,256.0,241.0,138.0,70.0
Celta Vigo,4286,510.0,790.0,886.0,906.0,764.0,430.0,845.0,956.0,833.0,871.0,781.0,112.0,171.0,196.0,176.0,126.0,64.0,101.0,178.0,206.0,206.0,161.0,104.0,102.0,135.0,135.0,165.0,157.0,139.0,104.0,145.0,183.0,185.0,173.0,81.0,91.0,161.0,166.0,174.0,147.0,42.0
Real Betis,4628,589.0,913.0,1006.0,1025.0,695.0,400.0,958.0,939.0,893.0,995.0,843.0,123.0,202.0,212.0,220.0,138.0,63.0,119.0,162.0,183.0,215.0,180.0,80.0,98.0,144.0,197.0,198.0,124.0,132.0,143.0,212.0,209.0,210.0,125.0,96.0,106.0,193.0,205.0,182.0,128.0,29.0
Atlético Madrid,4330,507.0,879.0,910.0,885.0,687.0,462.0,860.0,791.0,774.0,978.0,927.0,100.0,174.0,210.0,191.0,122.0,63.0,100.0,151.0,142.0,162.0,156.0,80.0,77.0,123.0,139.0,163.0,145.0,127.0,98.0,215.0,205.0,190.0,155.0,115.0,132.0,216.0,214.0,179.0,109.0,77.0
Elche,3926,544.0,822.0,810.0,848.0,551.0,351.0,787.0,848.0,684.0,794.0,813.0,112.0,164.0,165.0,168.0,121.0,57.0,134.0,166.0,150.0,176.0,150.0,72.0,101.0,134.0,136.0,140.0,83.0,90.0,97.0,191.0,159.0,181.0,102.0,64.0,100.0,167.0,200.0,183.0,95.0,68.0
Valencia,4007,554.0,810.0,906.0,765.0,610.0,362.0,737.0,756.0,679.0,922.0,913.0,81.0,163.0,187.0,157.0,98.0,51.0,108.0,159.0,169.0,128.0,136.0,56.0,101.0,125.0,130.0,105.0,108.0,110.0,147.0,161.0,212.0,194.0,129.0,79.0,117.0,202.0,208.0,181.0,139.0,66.0
Barcelona,3861,389.0,594.0,718.0,919.0,730.0,511.0,820.0,776.0,732.0,760.0,773.0,84.0,175.0,185.0,203.0,117.0,56.0,74.0,110.0,145.0,184.0,181.0,82.0,73.0,67.0,90.0,156.0,167.0,179.0,75.0,100.0,109.0,192.0,152.0,132.0,83.0,142.0,189.0,184.0,113.0,62.0
Villarreal,4387,546.0,892.0,1063.0,911.0,585.0,390.0,922.0,840.0,629.0,933.0,1063.0,75.0,184.0,293.0,199.0,115.0,56.0,125.0,143.0,161.0,192.0,120.0,99.0,77.0,96.0,93.0,128.0,131.0,104.0,149.0,193.0,201.0,195.0,112.0,83.0,120.0,276.0,315.0,197.0,107.0,48.0
Sevilla,4294,552.0,769.0,1023.0,960.0,642.0,348.0,759.0,844.0,793.0,924.0,974.0,103.0,145.0,205.0,159.0,106.0,41.0,96.0,165.0,170.0,196.0,143.0,74.0,105.0,127.0,168.0,182.0,116.0,95.0,117.0,160.0,223.0,207.0,141.0,76.0,131.0,172.0,257.0,216.0,136.0,62.0
