team_name,total_pressures,len_0,len_1,len_2,len_3,len_4,len_5,wid_0,wid_1,wid_2,wid_3,wid_4,zone_0_0,zone_0_1,zone_0_2,zone_0_3,zone_0_4,zone_0_5,zone_1_0,zone_1_1,zone_1_2,zone_1_3,zone_1_4,zone_1_5,zone_2_0,zone_2_1,zone_2_2,zone_2_3,zone_2_4,zone_2_5,zone_3_0,zone_3_1,zone_3_2,zone_3_3,zone_3_4,zone_3_5,zone_4_0,zone_4_1,zone_4_2,zone_4_3,zone_4_4,zone_4_5
AS Monaco,5272,586.0,830.0,1088.0,1157.0,1045.0,566.0,1104.0,1019.0,864.0,1075.0,1210.0,84.0,161.0,262.0,283.0,215.0,99.0,124.0,175.0,170.0,209.0,208.0,133.0,136.0,135.0,112.0,159.0,177.0,145.0,143.0,176.0,214.0,202.0,219.0,121.0,99.0,183.0,330.0,304.0,226.0,68.0
OGC Nice,4005,569.0,776.0,792.0,797.0,643.0,428.0,757.0,770.0,714.0,902.0,862.0,109.0,150.0,169.0,163.0,119.0,47.0,107.0,165.0,137.0,155.0,119.0,87.0,91.0,111.0,129.0,127.0,111.0,145.0,150.0,193.0,149.0,158.0,164.0,88.0,112.0,157.0,208.0,194.0,130.0,61.0
Strasbourg,3850,375.0,588.0,638.0,914.0,789.0,546.0,802.0,786.0,639.0,769.0,854.0,69.0,116.0,163.0,199.0,180.0,75.0,80.0,130.0,119.0,181.0,162.0,114.0,68.0,73.0,83.0,127.0,111.0,177.0,73.0,135.0,113.0,188.0,152.0,108.0,85.0,134.0,160.0,219.0,184.0,72.0
Lyon,3941,507.0,744.0,749.0,842.0,631.0,468.0,860.0,708.0,622.0,724.0,1027.0,93.0,176.0,183.0,226.0,120.0,62.0,101.0,123.0,116.0,136.0,138.0,94.0,80.0,94.0,81.0,115.0,106.0,146.0,119.0,125.0,119.0,145.0,118.0,98.0,114.0,226.0,250.0,220.0,149.0,68.0
Nantes,4115,580.0,870.0,927.0,835.0,566.0,337.0,876.0,844.0,742.0,825.0,828.0,123.0,182.0,227.0,174.0,135.0,35.0,133.0,169.0,188.0,186.0,108.0,60.0,97.0,154.0,136.0,127.0,111.0,117.0,124.0,179.0,181.0,154.0,112.0,75.0,103.0,186.0,195.0,194.0,100.0,50.0
Angers,4757,514.0,993.0,1188.0,1018.0,664.0,380.0,1043.0,956.0,817.0,954.0,987.0,113.0,236.0,275.0,219.0,133.0,67.0,80.0,189.0,224.0,208.0,170.0,85.0,113.0,140.0,176.0,169.0,124.0,95.0,111.0,211.0,227.0,199.0,137.0,69.0,97.0,217.0,286.0,223.0,100.0,64.0
Lille,4046,406.0,685.0,685.0,849.0,789.0,632.0,857.0,773.0,805.0,799.0,812.0,86.0,162.0,167.0,204.0,150.0,88.0,83.0,137.0,110.0,151.0,148.0,144.0,79.0,125.0,122.0,138.0,162.0,179.0,88.0,134.0,122.0,163.0,159.0,133.0,70.0,127.0,164.0,193.0,170.0,88.0
Stade Brestois,4173,445.0,825.0,918.0,885.0,669.0,431.0,1006.0,823.0,715.0,785.0,844.0,102.0,221.0,242.0,224.0,143.0,74.0,104.0,168.0,163.0,169.0,141.0,78.0,86.0,109.0,136.0,136.0,106.0,142.0,87.0,160.0,189.0,145.0,132.0,72.0,66.0,167.0,188.0,211.0,147.0,65.0
Le Havre,4145,568.0,960.0,884.0,847.0,524.0,362.0,895.0,820.0,690.0,840.0,900.0,118.0,219.0,220.0,182.0,98.0,58.0,111.0,204.0,179.0,174.0,101.0,51.0,89.0,138.0,120.0,120.0,101.0,122.0,148.0,184.0,152.0,165.0,125.0,66.0,102.0,215.0,213.0,206.0,99.0,65.0
Paris Saint-Germain,3973,319.0,565.0,701.0,858.0,865.0,665.0,672.0,789.0,812.0,803.0,897.0,56.0,101.0,137.0,169.0,134.0,75.0,69.0,106.0,132.0,158.0,181.0,143.0,66.0,82.0,107.0,163.0,171.0,223.0,71.0,124.0,137.0,149.0,190.0,132.0,57.0,152.0,188.0,219.0,189.0,92.0
Lorient,3781,478.0,935.0,859.0,684.0,487.0,338.0,728.0,730.0,642.0,815.0,866.0,96.0,197.0,183.0,127.0,92.0,33.0,90.0,196.0,158.0,136.0,89.0,61.0,75.0,109.0,137.0,109.0,100.0,112.0,106.0,229.0,153.0,143.0,104.0,80.0,111.0,204.0,228.0,169.0,102.0,52.0
Metz,4241,607.0,928.0,969.0,865.0,540.0,332.0,791.0,965.0,790.0,948.0,747.0,91.0,170.0,226.0,153.0,102.0,49.0,154.0,237.0,221.0,190.0,108.0,55.0,122.0,153.0,160.0,144.0,102.0,109.0,162.0,213.0,179.0,191.0,132.0,71.0,78.0,155.0,183.0,187.0,96.0,48.0
Toulouse,4458,476.0,750.0,896.0,968.0,844.0,524.0,911.0,890.0,809.0,959.0,889.0,91.0,181.0,208.0,203.0,158.0,70.0,104.0,152.0,172.0,189.0,163.0,110.0,109.0,111.0,125.0,157.0,153.0,154.0,97.0,142.0,184.0,209.0,211.0,116.0,75.0,164.0,207.0,210.0,159.0,74.0
Lens,4412,420.0,909.0,918.0,945.0,739.0,481.0,873.0,873.0,772.0,957.0,937.0,59.0,208.0,219.0,206.0,127.0,54.0,92.0,168.0,195.0,159.0,161.0,98.0,71.0,137.0,115.0,157.0,141.0,151.0,88.0,222.0,175.0,208.0,177.0,87.0,110.0,174.0,214.0,215.0,133.0,91.0
Rennes,4688,563.0,795.0,982.0,1138.0,764.0,446.0,1079.0,987.0,745.0,959.0,918.0,132.0,179.0,222.0,277.0,193.0,76.0,143.0,167.0,194.0,218.0,162.0,103.0,91.0,127.0,138.0,170.0,110.0,109.0,116.0,163.0,198.0,228.0,155.0,99.0,81.0,159.0,230.0,245.0,144.0,59.0
Marseille,3509,294.0,525.0,724.0,855.0,688.0,423.0,666.0,742.0,681.0,752.0,668.0,50.0,111.0,135.0,172.0,144.0,54.0,64.0,128.0,145.0,170.0,143.0,92.0,52.0,83.0,125.0,140.0,137.0,144.0,84.0,107.0,161.0,170.0,144.0,86.0,44.0,96.0,158.0,203.0,120.0,47.0
Auxerre,4817,505.0,823.0,1244.0,1072.0,740.0,433.0,1041.0,952.0,801.0,971.0,1052.0,70.0,211.0,306.0,234.0,151.0,69.0,93.0,160.0,220.0,234.0,152.0,93.0,108.0,119.0,171.0,177.0,112.0,114.0,114.0,146.0,258.0,191.0,166.0,96.0,120.0,187.0,289.0,236.0,159.0,61.0
Paris FC,3999,494.0,738.0,838.0,852.0,643.0,434.0,817.0,791.0,756.0,840.0,795.0,90.0,163.0,181.0,175.0,133.0,75.0,103.0,154.0,157.0,191.0,113.0,73.0,100.0,116.0,133.0,149.0,121.0,137.0,93.0,145.0,189.0,168.0,154.0,91.0,108.0,160.0,178.0,169.0,122.0,58.0
