team_name,total_pressures,len_0,len_1,len_2,len_3,len_4,len_5,wid_0,wid_1,wid_2,wid_3,wid_4,zone_0_0,zone_0_1,zone_0_2,zone_0_3,zone_0_4,zone_0_5,zone_1_0,zone_1_1,zone_1_2,zone_1_3,zone_1_4,zone_1_5,zone_2_0,zone_2_1,zone_2_2,zone_2_3,zone_2_4,zone_2_5,zone_3_0,zone_3_1,zone_3_2,zone_3_3,zone_3_4,zone_3_5,zone_4_0,zone_4_1,zone_4_2,zone_4_3,zone_4_4,zone_4_5
Arsenal,4275,408.0,659.0,849.0,909.0,793.0,657.0,737.0,825.0,860.0,870.0,983.0,64.0,134.0,161.0,165.0,123.0,90.0,74.0,129.0,140.0,172.0,174.0,136.0,85.0,106.0,134.0,148.0,161.0,226.0,95.0,137.0,178.0,171.0,167.0,122.0,90.0,153.0,236.0,253.0,168.0,83.0
Brentford,5121,668.0,946.0,1066.0,1054.0,893.0,494.0,1070.0,993.0,912.0,1045.0,1101.0,104.0,220.0,274.0,231.0,171.0,70.0,147.0,207.0,182.0,191.0,167.0,99.0,124.0,130.0,144.0,168.0,194.0,152.0,161.0,204.0,194.0,198.0,186.0,102.0,132.0,185.0,272.0,266.0,175.0,71.0
Brighton & Hove Albion,5925,587.0,923.0,1227.0,1352.0,1117.0,719.0,997.0,1133.0,1139.0,1299.0,1357.0,94.0,191.0,233.0,229.0,174.0,76.0,125.0,182.0,211.0,223.0,233.0,159.0,113.0,139.0,179.0,251.0,231.0,226.0,138.0,208.0,271.0,282.0,240.0,160.0,117.0,203.0,333.0,367.0,239.0,98.0
Sunderland,4631,729.0,936.0,846.0,857.0,707.0,556.0,1059.0,921.0,795.0,912.0,944.0,162.0,236.0,189.0,213.0,158.0,101.0,147.0,189.0,157.0,176.0,139.0,113.0,129.0,140.0,105.0,133.0,117.0,171.0,165.0,187.0,177.0,147.0,147.0,89.0,126.0,184.0,218.0,188.0,146.0,82.0
West Ham United,4655,688.0,1095.0,933.0,898.0,641.0,400.0,982.0,898.0,787.0,967.0,1021.0,129.0,273.0,239.0,177.0,121.0,43.0,144.0,217.0,173.0,167.0,115.0,82.0,129.0,143.0,134.0,145.0,119.0,117.0,160.0,252.0,173.0,160.0,127.0,95.0,126.0,210.0,214.0,249.0,159.0,63.0
Chelsea,4373,518.0,733.0,866.0,897.0,797.0,562.0,862.0,918.0,884.0,904.0,805.0,109.0,167.0,196.0,188.0,138.0,64.0,129.0,151.0,165.0,167.0,188.0,118.0,87.0,117.0,136.0,153.0,181.0,210.0,111.0,142.0,181.0,203.0,159.0,108.0,82.0,156.0,188.0,186.0,131.0,62.0
Burnley,5251,645.0,1109.0,1126.0,1132.0,753.0,486.0,1036.0,1050.0,943.0,1097.0,1125.0,92.0,198.0,254.0,247.0,160.0,85.0,121.0,245.0,223.0,232.0,138.0,91.0,148.0,214.0,153.0,163.0,120.0,145.0,183.0,240.0,212.0,196.0,172.0,94.0,101.0,212.0,284.0,294.0,163.0,71.0
Manchester City,4447,504.0,621.0,787.0,978.0,946.0,611.0,964.0,861.0,813.0,848.0,961.0,85.0,145.0,223.0,241.0,198.0,72.0,114.0,132.0,133.0,167.0,162.0,153.0,96.0,78.0,87.0,164.0,188.0,200.0,124.0,116.0,136.0,155.0,198.0,119.0,85.0,150.0,208.0,251.0,200.0,67.0
AFC Bournemouth,5175,687.0,933.0,1094.0,1132.0,835.0,494.0,1080.0,1162.0,955.0,955.0,1023.0,117.0,224.0,241.0,247.0,174.0,77.0,166.0,220.0,223.0,216.0,218.0,119.0,136.0,138.0,186.0,194.0,144.0,157.0,147.0,163.0,190.0,199.0,162.0,94.0,121.0,188.0,254.0,276.0,137.0,47.0
Tottenham Hotspur,4775,642.0,880.0,1024.0,953.0,737.0,539.0,879.0,901.0,945.0,1025.0,1025.0,107.0,159.0,194.0,211.0,132.0,76.0,127.0,163.0,176.0,187.0,147.0,101.0,132.0,157.0,165.0,139.0,155.0,197.0,144.0,227.0,205.0,177.0,166.0,106.0,132.0,174.0,284.0,239.0,137.0,59.0
Crystal Palace,5181,613.0,1094.0,1242.0,1059.0,742.0,431.0,1173.0,996.0,871.0,1001.0,1140.0,121.0,268.0,331.0,238.0,148.0,67.0,120.0,210.0,208.0,217.0,160.0,81.0,103.0,131.0,173.0,175.0,157.0,132.0,136.0,193.0,235.0,214.0,140.0,83.0,133.0,292.0,295.0,215.0,137.0,68.0
Liverpool,4129,550.0,679.0,784.0,817.0,742.0,557.0,686.0,812.0,781.0,915.0,935.0,81.0,119.0,168.0,146.0,124.0,48.0,93.0,112.0,128.0,178.0,174.0,127.0,84.0,120.0,116.0,137.0,144.0,180.0,161.0,156.0,158.0,168.0,159.0,113.0,131.0,172.0,214.0,188.0,141.0,89.0
Wolverhampton Wanderers,5612,805.0,1378.0,1249.0,1003.0,746.0,431.0,1122.0,1067.0,954.0,1253.0,1216.0,134.0,296.0,301.0,215.0,118.0,58.0,155.0,264.0,213.0,176.0,184.0,75.0,147.0,215.0,178.0,147.0,143.0,124.0,216.0,318.0,258.0,225.0,140.0,96.0,153.0,285.0,299.0,240.0,161.0,78.0
Nottingham Forest,4983,624.0,966.0,1075.0,998.0,826.0,494.0,1057.0,1042.0,844.0,980.0,1060.0,122.0,240.0,261.0,228.0,129.0,77.0,169.0,182.0,224.0,223.0,163.0,81.0,114.0,118.0,147.0,145.0,174.0,146.0,119.0,206.0,184.0,187.0,167.0,117.0,100.0,220.0,259.0,215.0,193.0,73.0
Everton,5050,561.0,873.0,1056.0,1172.0,877.0,511.0,889.0,1091.0,995.0,1057.0,1018.0,96.0,167.0,227.0,188.0,139.0,72.0,122.0,186.0,200.0,275.0,200.0,108.0,129.0,157.0,151.0,196.0,185.0,177.0,121.0,184.0,212.0,260.0,189.0,91.0,93.0,179.0,266.0,253.0,164.0,63.0
Aston Villa,4146,559.0,849.0,891.0,841.0,616.0,390.0,909.0,845.0,694.0,840.0,858.0,106.0,199.0,226.0,201.0,112.0,65.0,124.0,186.0,166.0,152.0,128.0,89.0,97.0,135.0,130.0,109.0,119.0,104.0,133.0,154.0,161.0,173.0,144.0,75.0,99.0,175.0,208.0,206.0,113.0,57.0
Manchester United,4735,619.0,914.0,984.0,972.0,778.0,468.0,967.0,1042.0,948.0,961.0,817.0,127.0,210.0,216.0,203.0,145.0,66.0,148.0,221.0,218.0,212.0,156.0,87.0,127.0,125.0,151.0,197.0,184.0,164.0,126.0,182.0,199.0,194.0,167.0,93.0,91.0,176.0,200.0,166.0,126.0,58.0
Newcastle United,5542,620.0,882.0,1199.0,1215.0,1025.0,601.0,1057.0,1204.0,1100.0,1136.0,1045.0,120.0,189.0,226.0,245.0,190.0,87.0,159.0,193.0,244.0,250.0,226.0,132.0,118.0,131.0,201.0,257.0,211.0,182.0,126.0,198.0,246.0,222.0,222.0,122.0,97.0,171.0,282.0,241.0,176.0,78.0
Fulham,4682,611.0,1017.0,1038.0,985.0,651.0,380.0,1083.0,1016.0,870.0,874.0,839.0,120.0,275.0,282.0,227.0,120.0,59.0,138.0,203.0,207.0,234.0,143.0,91.0,133.0,160.0,154.0,155.0,150.0,118.0,113.0,184.0,183.0,202.0,131.0,61.0,107.0,195.0,212.0,167.0,107.0,51.0
Leeds United,5336,624.0,1067.0,1169.0,1087.0,856.0,533.0,1140.0,1114.0,987.0,1036.0,1059.0,135.0,243.0,284.0,237.0,155.0,86.0,123.0,205.0,231.0,243.0,200.0,112.0,125.0,159.0,194.0,193.0,160.0,156.0,130.0,213.0,210.0,196.0,175.0,112.0,111.0,247.0,250.0,218.0,166.0,67.0
