team_name,total_pressures,len_0,len_1,len_2,len_3,len_4,len_5,wid_0,wid_1,wid_2,wid_3,wid_4,zone_0_0,zone_0_1,zone_0_2,zone_0_3,zone_0_4,zone_0_5,zone_1_0,zone_1_1,zone_1_2,zone_1_3,zone_1_4,zone_1_5,zone_2_0,zone_2_1,zone_2_2,zone_2_3,zone_2_4,zone_2_5,zone_3_0,zone_3_1,zone_3_2,zone_3_3,zone_3_4,zone_3_5,zone_4_0,zone_4_1,zone_4_2,zone_4_3,zone_4_4,zone_4_5
Sassuolo,4773,623.0,960.0,1080.0,1006.0,663.0,441.0,1069.0,1034.0,915.0,912.0,843.0,148.0,203.0,275.0,223.0,162.0,58.0,137.0,208.0,211.0,227.0,151.0,100.0,131.0,158.0,164.0,188.0,135.0,139.0,106.0,191.0,198.0,209.0,123.0,85.0,101.0,200.0,232.0,159.0,92.0,59.0
Udinese,4100,495.0,790.0,837.0,933.0,628.0,417.0,790.0,771.0,641.0,852.0,1046.0,75.0,159.0,216.0,187.0,108.0,45.0,100.0,166.0,140.0,156.0,122.0,87.0,93.0,87.0,98.0,118.0,117.0,128.0,122.0,165.0,147.0,193.0,127.0,98.0,105.0,213.0,236.0,279.0,154.0,59.0
Atalanta,4253,541.0,866.0,947.0,809.0,632.0,458.0,766.0,890.0,866.0,925.0,806.0,96.0,157.0,195.0,150.0,118.0,50.0,132.0,180.0,196.0,166.0,128.0,88.0,115.0,150.0,147.0,142.0,128.0,184.0,107.0,206.0,210.0,180.0,137.0,85.0,91.0,173.0,199.0,171.0,121.0,51.0
Como,4265,450.0,709.0,902.0,911.0,815.0,478.0,949.0,813.0,722.0,820.0,961.0,96.0,168.0,207.0,244.0,168.0,66.0,96.0,136.0,186.0,139.0,159.0,97.0,72.0,99.0,107.0,140.0,166.0,138.0,94.0,137.0,164.0,170.0,153.0,102.0,92.0,169.0,238.0,218.0,169.0,75.0
Bologna,3974,445.0,627.0,825.0,920.0,658.0,499.0,868.0,809.0,735.0,813.0,749.0,78.0,144.0,207.0,224.0,147.0,68.0,86.0,120.0,158.0,205.0,129.0,111.0,84.0,97.0,121.0,147.0,129.0,157.0,105.0,139.0,158.0,169.0,134.0,108.0,92.0,127.0,181.0,175.0,119.0,55.0
Genoa,4520,558.0,895.0,935.0,934.0,760.0,438.0,1009.0,865.0,735.0,923.0,988.0,99.0,201.0,249.0,226.0,168.0,66.0,104.0,167.0,181.0,165.0,148.0,100.0,90.0,123.0,116.0,160.0,127.0,119.0,133.0,197.0,179.0,170.0,152.0,92.0,132.0,207.0,210.0,213.0,165.0,61.0
Cagliari,4820,769.0,1203.0,1209.0,839.0,500.0,300.0,1032.0,1018.0,833.0,1015.0,922.0,177.0,259.0,249.0,195.0,104.0,48.0,184.0,238.0,261.0,159.0,123.0,53.0,122.0,173.0,193.0,158.0,89.0,98.0,151.0,290.0,247.0,182.0,94.0,51.0,135.0,243.0,259.0,145.0,90.0,50.0
Pisa,4810,666.0,1044.0,1126.0,923.0,632.0,419.0,1026.0,979.0,890.0,983.0,932.0,126.0,230.0,276.0,195.0,133.0,66.0,170.0,215.0,217.0,170.0,120.0,87.0,145.0,184.0,155.0,161.0,126.0,119.0,124.0,220.0,226.0,191.0,135.0,87.0,101.0,195.0,252.0,206.0,118.0,60.0
Torino,4666,613.0,1044.0,1072.0,923.0,594.0,420.0,1006.0,920.0,829.0,958.0,953.0,130.0,268.0,264.0,176.0,114.0,54.0,135.0,229.0,198.0,175.0,106.0,77.0,109.0,171.0,147.0,160.0,101.0,141.0,144.0,183.0,215.0,197.0,137.0,82.0,95.0,193.0,248.0,215.0,136.0,66.0
Parma Calcio 1913,4284,712.0,1006.0,784.0,742.0,603.0,437.0,896.0,928.0,750.0,853.0,857.0,132.0,199.0,195.0,167.0,124.0,79.0,163.0,245.0,164.0,134.0,136.0,86.0,156.0,168.0,93.0,102.0,104.0,127.0,147.0,193.0,151.0,159.0,122.0,81.0,114.0,201.0,181.0,180.0,117.0,64.0
Lecce,5106,643.0,949.0,1086.0,1110.0,848.0,470.0,836.0,1049.0,907.0,1119.0,1195.0,121.0,182.0,200.0,179.0,101.0,53.0,152.0,194.0,214.0,220.0,177.0,92.0,107.0,141.0,181.0,180.0,166.0,132.0,153.0,192.0,218.0,252.0,190.0,114.0,110.0,240.0,273.0,279.0,214.0,79.0
Cremonese,4127,685.0,924.0,936.0,761.0,502.0,319.0,919.0,808.0,721.0,812.0,867.0,124.0,206.0,260.0,196.0,91.0,42.0,162.0,186.0,176.0,135.0,96.0,53.0,133.0,178.0,121.0,113.0,84.0,92.0,158.0,174.0,158.0,141.0,118.0,63.0,108.0,180.0,221.0,176.0,113.0,69.0
Fiorentina,3579,488.0,687.0,795.0,738.0,503.0,368.0,786.0,759.0,701.0,685.0,648.0,81.0,148.0,192.0,200.0,111.0,54.0,96.0,170.0,169.0,145.0,116.0,63.0,114.0,105.0,121.0,135.0,104.0,122.0,112.0,127.0,151.0,129.0,94.0,72.0,85.0,137.0,162.0,129.0,78.0,57.0
AS Roma,4398,440.0,714.0,887.0,992.0,841.0,524.0,824.0,879.0,860.0,887.0,948.0,88.0,140.0,185.0,215.0,144.0,52.0,84.0,148.0,183.0,193.0,171.0,100.0,68.0,117.0,159.0,160.0,166.0,190.0,101.0,147.0,162.0,186.0,183.0,108.0,99.0,162.0,198.0,238.0,177.0,74.0
Inter Milan,3937,387.0,637.0,790.0,806.0,767.0,550.0,934.0,813.0,690.0,743.0,757.0,89.0,148.0,209.0,224.0,176.0,88.0,86.0,115.0,166.0,163.0,158.0,125.0,69.0,94.0,122.0,104.0,141.0,160.0,65.0,129.0,141.0,156.0,151.0,101.0,78.0,151.0,152.0,159.0,141.0,76.0
Lazio,4312,475.0,743.0,879.0,960.0,831.0,424.0,903.0,837.0,763.0,816.0,993.0,78.0,151.0,227.0,222.0,171.0,54.0,115.0,148.0,153.0,161.0,177.0,83.0,82.0,115.0,106.0,155.0,163.0,142.0,116.0,154.0,138.0,169.0,146.0,93.0,84.0,175.0,255.0,253.0,174.0,52.0
Hellas Verona,4340,543.0,902.0,1059.0,888.0,587.0,361.0,963.0,887.0,713.0,889.0,888.0,103.0,198.0,279.0,210.0,123.0,50.0,108.0,215.0,212.0,170.0,105.0,77.0,96.0,133.0,133.0,144.0,111.0,96.0,140.0,173.0,210.0,168.0,127.0,71.0,96.0,183.0,225.0,196.0,121.0,67.0
Juventus,4282,441.0,743.0,830.0,931.0,783.0,554.0,898.0,918.0,871.0,832.0,763.0,73.0,163.0,202.0,219.0,159.0,82.0,106.0,160.0,181.0,184.0,169.0,118.0,93.0,137.0,130.0,157.0,143.0,211.0,89.0,149.0,146.0,188.0,173.0,87.0,80.0,134.0,171.0,183.0,139.0,56.0
AC Milan,4425,627.0,954.0,920.0,886.0,629.0,409.0,1029.0,809.0,744.0,898.0,945.0,125.0,226.0,231.0,247.0,137.0,63.0,141.0,155.0,149.0,157.0,123.0,84.0,98.0,122.0,125.0,149.0,127.0,123.0,128.0,203.0,191.0,169.0,134.0,73.0,135.0,248.0,224.0,164.0,108.0,66.0
Napoli,3636,387.0,662.0,701.0,766.0,647.0,473.0,686.0,652.0,733.0,742.0,823.0,69.0,127.0,163.0,158.0,113.0,56.0,77.0,127.0,129.0,124.0,103.0,92.0,85.0,111.0,94.0,130.0,141.0,172.0,80.0,131.0,139.0,158.0,145.0,89.0,76.0,166.0,176.0,196.0,145.0,64.0
